CLASS_TYPE;POS;PIC;NUMBER;VEHICLE;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH
Am;1;1;55;Toyota GR86;15;45:03.689;;;14;2:43.767;143.2
Am;2;2;7;Toyota GR86;15;45:04.341;+0.652;+0.652;14;2:43.792;143.2
Am;3;3;13;Toyota GR86;15;45:04.490;+0.801;+0.149;14;2:43.417;143.5
Am;4;4;21;Toyota GR86;15;45:05.289;+1.600;+0.799;15;2:44.295;142.7
Am;5;5;47;Toyota GR86;15;45:05.675;+1.986;+0.386;13;2:44.239;142.8
Am;6;6;98;Toyota GR86;15;45:06.161;+2.472;+0.486;15;2:44.157;142.9
Am;7;7;22;Toyota GR86;15;45:06.830;+3.141;+0.669;13;2:43.405;143.5
Am;8;8;88;Toyota GR86;15;45:07.074;+3.385;+0.244;15;2:42.431;144.4
Am;9;9;72;Toyota GR86;15;45:09.394;+5.705;+2.320;15;2:43.269;143.6
Am;10;10;58;Toyota GR86;15;45:15.223;+11.534;+5.829;15;2:45.040;142.1
Am;11;11;51;Toyota GR86;15;45:15.905;+12.216;+0.682;12;2:44.587;142.5
Am;12;12;71;Toyota GR86;15;45:17.816;+14.127;+1.911;14;2:44.894;142.2
Am;13;13;113;Toyota GR86;15;45:18.320;+14.631;+0.504;14;2:44.993;142.1
Am;14;14;46;Toyota GR86;15;45:18.626;+14.937;+0.306;14;2:44.082;142.9
Am;15;15;31;Toyota GR86;15;45:19.092;+15.403;+0.466;13;2:43.672;143.3
Am;16;16;89;Toyota GR86;15;45:20.330;+16.641;+1.238;14;2:44.311;142.7
Am;17;17;3;Toyota GR86;15;45:24.584;+20.895;+4.254;15;2:44.837;142.3
Am;18;18;5;Toyota GR86;15;45:26.660;+22.971;+2.076;14;2:43.278;143.6
Am;19;19;2;Toyota GR86;15;45:31.281;+27.592;+4.621;14;2:40.838;145.8
Am;20;20;41;Toyota GR86;15;45:33.299;+29.610;+2.018;15;2:43.506;143.4
Am;21;21;11;Toyota GR86;15;45:45.641;+41.952;+12.342;13;2:47.504;140.0
Am;22;22;15;Toyota GR86;15;45:46.697;+43.008;+1.056;14;2:47.973;139.6
Am;23;23;12;Toyota GR86;15;46:06.872;+1'03.183;+20.175;13;2:48.533;139.2
Am;24;24;86;Toyota GR86;15;46:07.033;+1'03.344;+0.161;15;2:48.900;138.9
Am;25;25;8;Toyota GR86;15;46:10.659;+1'06.970;+3.626;15;2:49.451;138.4
Am;26;26;57;Toyota GR86;15;47:03.020;+1'59.331;+52.361;14;2:54.076;134.7
Am;27;27;18;Toyota GR86;15;47:18.830;+2'15.141;+15.810;12;2:54.295;134.6
Am;28;28;80;Toyota GR86;10;41:12.118;5 Laps;5 Laps;9;2:52.133;136.2
