NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
72;Toyota GR86;Am;21;2:08.682;5;2:08.873;4;2:09.134;3;2:09.271;2;2:09.348;12;2:09.357;6;2:09.467;8;2:09.527;10;2:09.528;14;2:09.611;11;2:09.279
12;Toyota GR86;Am;21;2:13.905;5;2:14.249;7;2:14.304;6;2:14.374;8;2:14.575;15;2:14.898;10;2:14.908;3;2:14.986;16;2:15.037;19;2:15.046;17;2:14.628
7;Toyota GR86;Am;21;2:08.768;15;2:08.935;4;2:09.001;3;2:09.114;11;2:09.248;2;2:09.324;5;2:09.328;8;2:09.347;6;2:09.404;14;2:09.406;12;2:09.187
98;Toyota GR86;Am;21;2:08.990;3;2:09.161;15;2:09.199;11;2:09.275;2;2:09.278;8;2:09.336;7;2:09.414;4;2:09.552;17;2:09.569;12;2:09.674;6;2:09.344
55;Toyota GR86;Am;21;2:08.834;4;2:09.147;20;2:09.149;5;2:09.177;3;2:09.219;2;2:09.341;14;2:09.344;6;2:09.402;13;2:09.422;16;2:09.445;8;2:09.248
46;Toyota GR86;Am;21;2:08.501;7;2:09.035;16;2:09.187;11;2:09.218;2;2:09.344;3;2:09.357;12;2:09.545;15;2:09.595;8;2:09.756;14;2:09.890;4;2:09.342
5;Toyota GR86;Am;21;2:09.901;14;2:10.101;10;2:10.202;12;2:10.206;11;2:10.241;13;2:10.320;2;2:10.412;4;2:10.440;8;2:10.486;15;2:10.704;6;2:10.301
89;Toyota GR86;Am;21;2:11.359;3;2:11.367;2;2:11.431;12;2:11.448;16;2:11.565;7;2:11.667;19;2:11.894;15;2:11.973;14;2:11.987;11;2:11.989;20;2:11.668
80;Toyota GR86;Am;21;2:10.784;5;2:10.812;10;2:10.916;14;2:10.924;3;2:11.061;11;2:11.249;8;2:11.300;16;2:11.326;7;2:11.339;2;2:11.367;13;2:11.107
111;Toyota GR86;Am;21;2:09.171;18;2:09.328;16;2:09.357;17;2:09.423;5;2:09.467;6;2:09.567;20;2:09.572;2;2:09.572;12;2:09.592;7;2:09.658;14;2:09.470
88;Toyota GR86;Am;21;2:09.282;2;2:09.295;7;2:09.459;6;2:09.490;3;2:09.492;4;2:09.615;5;2:09.868;11;2:09.932;20;2:10.087;15;2:10.100;8;2:09.662
15;Toyota GR86;Am;21;2:09.754;5;2:10.045;7;2:10.051;6;2:10.217;11;2:10.293;3;2:10.355;10;2:10.597;12;2:10.655;2;2:10.728;4;2:10.788;8;2:10.348
61;Toyota GR86;Am;21;2:11.340;16;2:11.710;3;2:11.940;5;2:12.029;15;2:12.123;4;2:12.165;12;2:12.166;8;2:12.297;21;2:12.383;20;2:12.481;13;2:12.063
51;Toyota GR86;Am;21;2:10.769;10;2:10.787;11;2:10.958;3;2:11.140;8;2:11.480;2;2:11.560;5;2:11.688;14;2:11.699;7;2:11.862;20;2:11.890;9;2:11.383
113;Toyota GR86;Am;21;2:09.498;7;2:09.499;12;2:09.815;16;2:09.909;17;2:09.985;14;2:10.016;11;2:10.242;13;2:10.255;9;2:10.305;6;2:10.406;10;2:09.993
3;Toyota GR86;Am;21;2:09.662;14;2:10.151;6;2:10.197;12;2:10.286;10;2:10.289;13;2:10.322;11;2:10.329;5;2:10.396;3;2:10.513;9;2:10.653;15;2:10.279
71;Toyota GR86;Am;21;2:08.908;7;2:09.058;2;2:09.147;4;2:09.256;3;2:09.302;12;2:09.337;17;2:09.343;11;2:09.578;8;2:09.695;16;2:09.701;5;2:09.332
2;Toyota GR86;Am;21;2:08.941;4;2:09.118;5;2:09.162;3;2:09.222;2;2:09.289;12;2:09.327;6;2:09.498;15;2:09.516;11;2:09.586;14;2:09.684;10;2:09.334
41;Toyota GR86;Am;21;2:10.054;16;2:10.210;12;2:10.216;15;2:10.247;6;2:10.285;7;2:10.301;9;2:10.454;17;2:10.502;14;2:10.582;4;2:10.624;11;2:10.347
93;Toyota GR86;Am;21;2:10.049;7;2:10.203;3;2:10.605;6;2:10.634;8;2:10.748;5;2:10.807;12;2:10.843;10;2:10.883;11;2:10.972;16;2:11.291;9;2:10.703
13;Toyota GR86;Am;21;2:08.501;5;2:09.139;2;2:09.176;3;2:09.276;15;2:09.359;12;2:09.367;6;2:09.446;8;2:09.457;10;2:09.551;11;2:09.659;14;2:09.293
