NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
2;Toyota GR86;Am;17;2:31.882;8;2:31.903;11;2:31.977;9;2:32.044;10;2:32.279;15;2:32.321;2;2:32.355;14;2:32.418;12;2:32.716;13;2:32.960;16;2:32.285
3;Toyota GR86;Am;17;2:32.938;14;2:33.530;16;2:33.532;11;2:33.797;13;2:33.846;10;2:33.946;12;2:34.013;9;2:34.023;8;2:34.239;3;2:34.552;17;2:33.841
5;Toyota GR86;Am;17;2:33.245;13;2:33.449;14;2:33.492;15;2:33.801;12;2:33.825;16;2:34.480;8;2:34.573;7;2:34.613;11;2:35.025;17;2:35.200;10;2:34.170
7;Toyota GR86;Am;17;2:31.931;12;2:31.982;11;2:32.075;2;2:32.305;9;2:32.472;13;2:32.491;14;2:32.680;8;2:32.880;10;2:32.944;15;2:33.848;16;2:32.560
8;Toyota GR86;Am;17;2:35.651;9;2:36.248;13;2:36.402;14;2:36.559;10;2:36.741;11;2:36.863;17;2:37.120;12;2:37.419;16;2:37.584;15;2:37.672;8;2:36.825
11;Toyota GR86;Am;17;2:34.521;7;2:34.726;13;2:34.856;12;2:35.088;11;2:35.340;8;2:35.352;9;2:35.398;10;2:35.796;3;2:35.821;14;2:35.962;2;2:35.286
12;Toyota GR86;Am;17;2:36.008;9;2:36.294;12;2:36.358;14;2:36.375;11;2:36.384;16;2:36.728;10;2:36.815;13;2:37.906;8;2:38.074;15;2:39.196;3;2:37.013
13;Toyota GR86;Am;17;2:31.884;9;2:31.893;10;2:31.991;2;2:32.163;12;2:32.176;15;2:32.188;11;2:32.483;14;2:32.638;13;2:32.917;8;2:33.024;7;2:32.335
18;Toyota GR86;Am;17;2:40.540;10;2:40.705;17;2:40.799;12;2:40.892;11;2:41.162;13;2:41.303;3;2:41.310;15;2:41.375;14;2:41.843;16;2:41.862;2;2:41.179
21;Toyota GR86;Am;17;2:32.559;10;2:32.675;2;2:32.819;11;2:32.850;15;2:33.019;14;2:33.107;17;2:33.303;9;2:33.305;12;2:33.333;13;2:33.651;16;2:33.062
22;Toyota GR86;Am;2;2:32.467;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;2:32.467
31;Toyota GR86;Am;17;2:32.106;16;2:32.142;3;2:32.144;11;2:32.153;14;2:32.164;13;2:32.195;10;2:32.268;9;2:32.863;8;2:32.934;12;2:33.253;15;2:32.422
41;Toyota GR86;Am;17;2:32.488;3;2:33.442;8;2:33.602;9;2:33.673;10;2:33.833;2;2:33.878;17;2:33.903;11;2:34.030;14;2:34.704;16;2:34.790;13;2:33.834
46;Toyota GR86;Am;17;2:31.705;3;2:31.840;11;2:32.069;10;2:32.512;13;2:32.516;8;2:32.547;16;2:32.672;2;2:32.961;14;2:32.978;12;2:33.046;15;2:32.484
47;Toyota GR86;Am;17;2:31.810;12;2:31.928;9;2:31.965;11;2:32.119;2;2:32.377;10;2:32.425;13;2:32.496;8;2:32.584;15;2:32.939;14;2:33.009;16;2:32.365
51;Toyota GR86;Am;17;2:33.144;9;2:33.235;8;2:33.335;13;2:33.391;16;2:33.466;14;2:33.731;10;2:34.049;11;2:34.230;3;2:34.319;15;2:34.441;7;2:33.734
55;Toyota GR86;Am;17;2:31.703;9;2:31.744;10;2:32.064;11;2:32.297;17;2:32.325;12;2:32.492;13;2:32.516;2;2:32.566;8;2:32.831;15;2:33.010;14;2:32.354
57;Toyota GR86;Am;17;2:39.213;9;2:39.613;7;2:39.892;3;2:40.102;2;2:40.300;12;2:40.310;11;2:40.361;10;2:40.963;13;2:40.983;14;2:41.022;8;2:40.275
58;Toyota GR86;Am;17;2:32.823;9;2:32.979;3;2:33.224;2;2:33.465;10;2:33.486;8;2:33.631;13;2:33.735;12;2:34.004;7;2:34.080;14;2:34.403;11;2:33.583
71;Toyota GR86;Am;3;2:32.776;2;2:33.013;3;;0;;0;;0;;0;;0;;0;;0;;0;2:32.894
72;Toyota GR86;Am;17;2:31.714;10;2:31.805;2;2:31.894;9;2:32.100;12;2:32.328;11;2:32.450;8;2:32.521;13;2:32.826;15;2:32.917;3;2:33.052;16;2:32.360
80;Toyota GR86;Am;17;2:34.693;12;2:34.714;11;2:35.314;10;2:35.383;16;2:35.819;9;2:35.846;15;2:35.855;17;2:36.174;14;2:36.223;8;2:36.399;13;2:35.642
86;Toyota GR86;Am;17;2:35.415;12;2:35.422;16;2:35.447;17;2:35.558;10;2:35.908;15;2:35.931;14;2:36.397;9;2:36.437;7;2:36.571;8;2:36.608;11;2:35.969
88;Toyota GR86;Am;17;2:32.638;3;2:32.787;2;2:32.861;9;2:32.869;10;2:32.930;13;2:33.021;16;2:33.109;12;2:33.190;17;2:33.298;11;2:33.363;8;2:33.006
89;Toyota GR86;Am;17;2:33.389;8;2:33.489;2;2:33.589;3;2:33.679;12;2:33.873;14;2:33.888;11;2:34.337;10;2:34.361;13;2:34.452;17;2:34.510;9;2:33.956
98;Toyota GR86;Am;17;2:31.723;16;2:31.817;2;2:31.841;11;2:32.118;3;2:32.378;10;2:32.462;8;2:32.642;13;2:32.689;12;2:32.805;9;2:33.027;14;2:32.350
113;Toyota GR86;Am;17;2:32.292;10;2:32.401;9;2:32.563;11;2:32.601;3;2:33.003;2;2:33.178;13;2:33.215;12;2:33.285;16;2:33.558;8;2:33.569;15;2:32.966
