POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5
1.0;2;Classified;17;46:59.428;-;-;8;2:31.882;154.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
2.0;72;Classified;17;47:01.563;+2.135;+2.135;10;2:31.714;154.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
3.0;47;Classified;17;47:01.739;+2.311;+0.176;12;2:31.810;154.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
4.0;55;Classified;17;47:01.918;+2.490;+0.179;9;2:31.703;154.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
5.0;98;Classified;17;47:04.351;+4.923;+2.433;16;2:31.723;154.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
6.0;7;Classified;17;47:04.354;+4.926;+0.003;12;2:31.931;154.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
7.0;31;Classified;17;47:05.566;+6.138;+1.212;16;2:32.106;154.2;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
8.0;13;Classified;17;47:05.599;+6.171;+0.033;9;2:31.884;154.4;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
9.0;113;Classified;17;47:10.076;+10.648;+4.477;10;2:32.292;154.0;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
10.0;88;Classified;17;47:10.366;+10.938;+0.290;3;2:32.638;153.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
11.0;46;Classified;17;47:17.705;+18.277;+7.339;3;2:31.705;154.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
12.0;51;Classified;17;47:19.327;+19.899;+1.622;9;2:33.144;153.1;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
13.0;58;Classified;17;47:19.478;+20.050;+0.151;9;2:32.823;153.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
14.0;3;Classified;17;47:19.753;+20.325;+0.275;14;2:32.938;153.3;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
15.0;21;Classified;17;47:21.734;+22.306;+1.981;10;2:32.559;153.7;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
16.0;41;Classified;17;47:22.441;+23.013;+0.707;3;2:32.488;153.8;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
17.0;89;Classified;17;47:23.807;+24.379;+1.366;8;2:33.389;152.9;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
18.0;5;Classified;17;47:25.144;+25.716;+1.337;13;2:33.245;153.0;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
19.0;11;Classified;17;47:37.623;+38.195;+12.479;7;2:34.521;151.8;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
20.0;80;Classified;17;47:45.574;+46.146;+7.951;12;2:34.693;151.6;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
21.0;86;Classified;17;47:45.873;+46.445;+0.299;12;2:35.415;150.9;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
22.0;8;Classified;17;47:57.155;+57.727;+11.282;9;2:35.651;150.7;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
23.0;12;Classified;17;48:20.904;+1:21.476;+23.749;9;2:36.008;150.3;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
24.0;57;Classified;17;48:41.998;+1:42.570;+21.094;9;2:39.213;147.3;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
25.0;18;Classified;17;48:46.106;+1:46.678;+4.108;10;2:40.540;146.1;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;;;
26.0;71;Classified;3;7:44.523;14 Laps;14 Laps;2;2:32.776;153.5;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
27.0;22;Classified;2;5:08.569;15 Laps;1 Lap;2;2:32.467;153.8;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
;15;Not started;0;;;;0;;;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;;;
