NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;2:44.272;0;;50.746;0;1:01.054;0;52.472;0;142.8;2:44.272;12:47:50.586;0:50.746;1:01.054;0:52.472;210.1;;Am;;Toyota Gazoo Racing;GF;50.746;61.054;52.472;24.572;24.572;26.174;50.746;29.804;1:20.550;31.25;1:51.800;28.421;2:20.221;24.051;2:44.272
3;1;2;2:36.389;0;;47.118;0;58.394;0;50.877;0;150.0;5:20.661;12:50:26.975;0:47.118;0:58.394;0:50.877;213.0;;Am;;Toyota Gazoo Racing;GF;47.118;58.394;50.877;20.732;20.732;26.386;47.118;28.692;1:15.810;29.702;1:45.512;27.166;2:12.678;23.711;2:36.389
3;1;3;2:34.239;0;;44.525;0;58.613;0;51.101;0;152.1;7:54.900;12:53:01.214;0:44.525;0:58.613;0:51.101;212.2;;Am;;Toyota Gazoo Racing;GF;44.525;58.613;51.101;18.571;18.571;25.954;44.525;28.84;1:13.365;29.773;1:43.138;27.186;2:10.324;23.915;2:34.239
3;1;4;2:35.421;0;;44.864;0;58.389;0;52.168;0;150.9;10:30.321;12:55:36.635;0:44.864;0:58.389;0:52.168;213.0;;Am;;Toyota Gazoo Racing;FCY;44.864;58.389;52.168;18.807;18.807;26.057;44.864;28.736;1:13.600;29.653;1:43.253;27.106;2:10.359;25.062;2:35.421
3;1;5;4:32.819;0;;1:20.637;0;1:33.839;0;1:38.343;0;86.0;15:03.140;13:00:09.454;1:20.637;1:33.839;1:38.343;162.2;;Am;;Toyota Gazoo Racing;FCY;80.637;93.839;98.343;30.927;30.927;49.71;1:20.637;44.453;2:05.090;49.386;2:54.476;57.435;3:51.911;40.908;4:32.819
3;1;6;4:02.774;0;;1:15.778;0;1:33.556;0;1:13.440;0;96.6;19:05.914;13:04:12.228;1:15.778;1:33.556;1:13.440;131.1;;Am;;Toyota Gazoo Racing;GF;75.778;93.556;73.44;29.954;29.954;45.824;1:15.778;44.736;2:00.514;48.82;2:49.334;45.138;3:34.472;28.302;4:02.774
3;1;7;2:34.840;0;;44.453;0;59.489;0;50.898;0;151.5;21:40.754;13:06:47.068;0:44.453;0:59.489;0:50.898;215.1;;Am;;Toyota Gazoo Racing;GF;44.453;59.489;50.898;18.545;18.545;25.908;44.453;29.038;1:13.491;30.451;1:43.942;27.191;2:11.133;23.707;2:34.840
3;1;8;2:34.023;0;;45.246;0;58.289;0;50.488;0;152.3;24:14.777;13:09:21.091;0:45.246;0:58.289;0:50.488;218.2;;Am;;Toyota Gazoo Racing;GF;45.246;58.289;50.488;18.632;18.632;26.614;45.246;28.586;1:13.832;29.703;1:43.535;26.853;2:10.388;23.635;2:34.023
3;1;9;2:34.013;0;;44.231;0;58.649;0;51.133;0;152.3;26:48.790;13:11:55.104;0:44.231;0:58.649;0:51.133;217.3;;Am;;Toyota Gazoo Racing;GF;44.231;58.649;51.133;18.347;18.347;25.884;44.231;28.886;1:13.117;29.763;1:42.880;27.066;2:09.946;24.067;2:34.013
3;1;10;2:33.846;0;;44.469;0;58.345;0;51.032;0;152.4;29:22.636;13:14:28.950;0:44.469;0:58.345;0:51.032;217.3;;Am;;Toyota Gazoo Racing;GF;44.469;58.345;51.032;18.515;18.515;25.954;44.469;28.61;1:13.079;29.735;1:42.814;27.258;2:10.072;23.774;2:33.846
