NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
80;Toyota GR86;Am;23;1:55.840;13;1:56.108;9;1:56.159;14;1:56.204;12;1:56.485;3;1:56.555;4;1:56.733;23;1:56.786;16;1:56.857;11;1:56.888;17;1:56.461
113;Toyota GR86;Am;23;1:53.303;13;1:53.345;17;1:53.393;19;1:53.427;4;1:53.490;9;1:53.605;16;1:53.641;14;1:53.877;12;1:53.905;21;1:53.963;10;1:53.594
17;Toyota GR86;Am;23;1:53.277;4;1:53.659;10;1:53.938;9;1:54.137;14;1:54.148;11;1:54.420;16;1:54.477;22;1:54.624;13;1:54.742;15;1:54.748;23;1:54.217
93;Toyota GR86;Am;23;1:53.915;20;1:53.925;19;1:53.978;15;1:54.156;21;1:54.196;11;1:54.272;14;1:54.306;23;1:54.313;10;1:54.466;17;1:54.741;22;1:54.226
50;Toyota GR86;Am;23;1:52.948;22;1:52.974;16;1:52.989;19;1:53.246;17;1:53.279;15;1:53.422;23;1:53.608;9;1:53.632;21;1:53.650;13;1:53.730;14;1:53.347
89;Toyota GR86;Am;23;1:52.502;22;1:52.775;19;1:52.896;17;1:52.981;23;1:53.178;13;1:53.276;10;1:53.355;16;1:53.404;20;1:53.407;14;1:53.645;21;1:53.141
16;Toyota GR86;Am;23;1:52.119;12;1:52.134;22;1:52.205;13;1:52.219;14;1:52.241;18;1:52.278;23;1:52.280;20;1:52.350;10;1:52.404;16;1:52.492;15;1:52.272
3;Toyota GR86;Am;23;1:54.350;10;1:54.476;16;1:54.502;17;1:54.830;20;1:54.875;23;1:54.885;11;1:54.995;13;1:55.203;12;1:55.334;14;1:55.367;9;1:54.881
15;Toyota GR86;Am;23;1:53.855;23;1:53.871;14;1:54.025;21;1:54.035;9;1:54.038;19;1:54.102;17;1:54.193;22;1:54.242;4;1:54.526;16;1:54.587;10;1:54.147
11;Toyota GR86;Am;23;1:54.517;22;1:54.601;21;1:54.622;20;1:54.731;15;1:54.827;14;1:55.066;23;1:55.132;19;1:55.159;17;1:55.673;4;1:55.734;13;1:55.006
