"meta_source","meta_time","meta_event","meta_session","timestamp","vehicle_id","outing","lap","expire_at","value"
"kafka:gr-raw","2025-03-30T20:41:20.639Z","I_R01_2025-03-30","R1","2025-03-30T20:41:20.492Z","GR86-002-002",0,23,,"2025-03-30T20:41:20.492Z"
"kafka:gr-raw","2025-03-30T19:45:10.621Z","I_R01_2025-03-30","R1","2025-03-30T19:45:08.998Z","GR86-002-002",0,32768,,"2025-03-30T19:45:08.998Z"
"kafka:gr-raw","2025-03-30T16:28:57.301Z","I_R01_2025-03-30","R1","2025-03-30T16:28:51.258Z","GR86-002-002",0,7,,"2025-03-30T16:28:51.258Z"
"kafka:gr-raw","2025-03-30T15:02:54.795Z","I_R01_2025-03-30","R1","2025-03-30T15:02:54.012Z","GR86-002-002",0,0,,"2025-03-30T15:02:54.012Z"
"kafka:gr-raw","2025-03-30T15:02:35.038Z","I_R01_2025-03-30","R1","2025-03-30T15:02:34.561Z","GR86-002-002",0,32768,,"2025-03-30T15:02:34.561Z"
"kafka:gr-raw","2025-03-29T23:00:09.963Z","I_R01_2025-03-30","R1","2025-03-29T23:00:07.940Z","GR86-002-002",0,26,,"2025-03-29T23:00:07.940Z"
"kafka:gr-raw","2025-03-29T21:55:20.826Z","I_R01_2025-03-30","R1","2025-03-29T21:55:13.793Z","GR86-002-002",0,25,,"2025-03-29T21:55:13.793Z"
"kafka:gr-raw","2025-03-29T21:52:36.845Z","I_R01_2025-03-30","R1","2025-03-29T21:52:35.442Z","GR86-002-002",0,24,,"2025-03-29T21:52:35.442Z"
"kafka:gr-raw","2025-03-29T21:50:43.894Z","I_R01_2025-03-30","R1","2025-03-29T21:50:43.133Z","GR86-002-002",0,23,,"2025-03-29T21:50:43.133Z"
"kafka:gr-raw","2025-03-29T21:48:52.592Z","I_R01_2025-03-30","R1","2025-03-29T21:48:50.726Z","GR86-002-002",0,22,,"2025-03-29T21:48:50.726Z"
"kafka:gr-raw","2025-03-29T21:46:59.349Z","I_R01_2025-03-30","R1","2025-03-29T21:46:58.516Z","GR86-002-002",0,21,,"2025-03-29T21:46:58.516Z"
"kafka:gr-raw","2025-03-29T21:45:06.991Z","I_R01_2025-03-30","R1","2025-03-29T21:45:06.179Z","GR86-002-002",0,20,,"2025-03-29T21:45:06.179Z"
"kafka:gr-raw","2025-03-29T21:43:14.786Z","I_R01_2025-03-30","R1","2025-03-29T21:43:14.019Z","GR86-002-002",0,19,,"2025-03-29T21:43:14.019Z"
"kafka:gr-raw","2025-03-29T21:41:23.151Z","I_R01_2025-03-30","R1","2025-03-29T21:41:22.008Z","GR86-002-002",0,18,,"2025-03-29T21:41:22.008Z"
"kafka:gr-raw","2025-03-29T21:39:30.995Z","I_R01_2025-03-30","R1","2025-03-29T21:39:29.624Z","GR86-002-002",0,17,,"2025-03-29T21:39:29.624Z"
"kafka:gr-raw","2025-03-29T21:37:38.137Z","I_R01_2025-03-30","R1","2025-03-29T21:37:37.537Z","GR86-002-002",0,16,,"2025-03-29T21:37:37.537Z"
"kafka:gr-raw","2025-03-29T21:35:46.291Z","I_R01_2025-03-30","R1","2025-03-29T21:35:45.227Z","GR86-002-002",0,15,,"2025-03-29T21:35:45.227Z"
"kafka:gr-raw","2025-03-29T21:33:54.331Z","I_R01_2025-03-30","R1","2025-03-29T21:33:52.962Z","GR86-002-002",0,14,,"2025-03-29T21:33:52.962Z"
"kafka:gr-raw","2025-03-29T21:32:00.405Z","I_R01_2025-03-30","R1","2025-03-29T21:32:00.098Z","GR86-002-002",0,13,,"2025-03-29T21:32:00.098Z"
"kafka:gr-raw","2025-03-29T21:30:09.543Z","I_R01_2025-03-30","R1","2025-03-29T21:30:07.806Z","GR86-002-002",0,12,,"2025-03-29T21:30:07.806Z"
"kafka:gr-raw","2025-03-29T21:28:15.783Z","I_R01_2025-03-30","R1","2025-03-29T21:28:15.397Z","GR86-002-002",0,11,,"2025-03-29T21:28:15.397Z"
"kafka:gr-raw","2025-03-29T21:26:25.309Z","I_R01_2025-03-30","R1","2025-03-29T21:26:22.936Z","GR86-002-002",0,10,,"2025-03-29T21:26:22.936Z"
"kafka:gr-raw","2025-03-29T21:24:31.074Z","I_R01_2025-03-30","R1","2025-03-29T21:24:30.200Z","GR86-002-002",0,9,,"2025-03-29T21:24:30.200Z"
"kafka:gr-raw","2025-03-29T21:22:10.689Z","I_R01_2025-03-30","R1","2025-03-29T21:22:01.415Z","GR86-002-002",0,8,,"2025-03-29T21:22:01.415Z"
"kafka:gr-raw","2025-03-29T21:19:14.953Z","I_R01_2025-03-30","R1","2025-03-29T21:19:14.034Z","GR86-002-002",0,7,,"2025-03-29T21:19:14.034Z"
"kafka:gr-raw","2025-03-29T21:16:22.643Z","I_R01_2025-03-30","R1","2025-03-29T21:16:18.806Z","GR86-002-002",0,6,,"2025-03-29T21:16:18.806Z"
"kafka:gr-raw","2025-03-29T21:14:13.156Z","I_R01_2025-03-30","R1","2025-03-29T21:14:12.818Z","GR86-002-002",0,5,,"2025-03-29T21:14:12.818Z"
"kafka:gr-raw","2025-03-29T21:12:22.424Z","I_R01_2025-03-30","R1","2025-03-29T21:12:19.989Z","GR86-002-002",0,4,,"2025-03-29T21:12:19.989Z"
"kafka:gr-raw","2025-03-29T21:10:46.057Z","I_R01_2025-03-30","R1","2025-03-29T21:10:25.912Z","GR86-002-002",0,3,,"2025-03-29T21:10:25.912Z"
