CLASS_TYPE;POS;PIC;NUMBER;VEHICLE;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH
Am;1;1;13;Toyota GR86;16;40:14.331;;;6;2:25.055;149.4
Am;2;2;72;Toyota GR86;16;40:21.884;+7.553;+7.553;7;2:25.338;149.1
Am;3;3;7;Toyota GR86;16;40:22.291;+7.960;+0.407;7;2:25.400;149.0
Am;4;4;16;Toyota GR86;16;40:22.490;+8.159;+0.199;7;2:25.299;149.1
Am;5;5;78;Toyota GR86;16;40:23.413;+9.082;+0.923;6;2:25.469;149.0
Am;6;6;46;Toyota GR86;16;40:23.626;+9.295;+0.213;10;2:25.537;148.9
Am;7;7;2;Toyota GR86;16;40:27.997;+13.666;+4.371;9;2:25.818;148.6
Am;8;8;98;Toyota GR86;16;40:28.203;+13.872;+0.206;9;2:26.075;148.3
Am;9;9;55;Toyota GR86;16;40:30.162;+15.831;+1.959;10;2:25.882;148.5
Am;10;10;71;Toyota GR86;16;40:37.357;+23.026;+7.195;10;2:26.129;148.3
Am;11;11;15;Toyota GR86;16;40:37.488;+23.157;+0.131;9;2:25.839;148.6
Am;12;12;21;Toyota GR86;16;40:41.064;+26.733;+3.576;6;2:26.513;147.9
Am;13;13;88;Toyota GR86;16;40:57.829;+43.498;+16.765;8;2:27.152;147.3
Am;14;14;51;Toyota GR86;16;40:58.458;+44.127;+0.629;6;2:27.465;146.9
Am;15;15;11;Toyota GR86;16;40:58.506;+44.175;+0.048;4;2:27.381;147.0
Am;16;16;3;Toyota GR86;16;40:59.243;+44.912;+0.737;11;2:27.574;146.8
Am;17;17;113;Toyota GR86;16;40:59.341;+45.010;+0.098;9;2:26.076;148.3
Am;18;18;41;Toyota GR86;16;41:09.117;+54.786;+9.776;4;2:26.549;147.9
Am;19;19;5;Toyota GR86;16;41:10.049;+55.718;+0.932;4;2:27.050;147.4
Am;20;20;31;Toyota GR86;15;41:36.914;1 Laps;1 Laps;4;2:26.914;147.5
Am;21;21;47;Toyota GR86;13;34:11.930;3 Laps;2 Laps;4;2:27.174;147.2
Am;22;22;80;Toyota GR86;0;;16 Laps;13 Laps;0;;
