NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;2:40.812;0;;50.835;0;52.061;0;57.916;0;134.7;2:40.812;10:07:39.187;0:50.835;0:52.061;0:57.916;;;Am;;Toyota Gazoo Racing;FCY;50.835;52.061;57.916;22.349;22.349;28.486;50.835;29.187;1:20.022;22.874;1:42.896;33.336;2:16.232;24.58;2:40.812
3;1;2;3:41.261;0;;1:05.754;0;1:16.876;0;1:18.631;0;97.9;6:22.073;10:11:20.448;1:05.754;1:16.876;1:18.631;;;Am;;Toyota Gazoo Racing;GF;65.754;76.876;78.631;29.403;29.403;36.351;1:05.754;42.127;1:47.881;34.749;2:22.630;54.271;3:16.901;24.36;3:41.261
3;1;3;2:29.162;0;;44.980;0;51.333;0;52.849;0;145.3;8:51.235;10:13:49.610;0:44.980;0:51.333;0:52.849;;;Am;;Toyota Gazoo Racing;GF;44.98;51.333;52.849;17.907;17.907;27.073;44.980;28.911;1:13.891;22.422;1:36.313;33.178;2:09.491;19.671;2:29.162
3;1;4;2:28.068;0;;44.320;0;50.944;0;52.804;0;146.3;11:19.303;10:16:17.678;0:44.320;0:50.944;0:52.804;;;Am;;Toyota Gazoo Racing;GF;44.32;50.944;52.804;18.075;18.075;26.245;44.320;28.760;1:13.080;22.184;1:35.264;33.123;2:08.387;19.681;2:28.068
3;1;5;2:29.327;0;;44.714;0;51.813;0;52.800;0;145.1;13:48.630;10:18:47.005;0:44.714;0:51.813;0:52.800;;;Am;;Toyota Gazoo Racing;GF;44.714;51.813;52.8;18.051;18.051;26.663;44.714;29.670;1:14.384;22.143;1:36.527;33.198;2:09.725;19.602;2:29.327
3;1;6;2:27.674;0;;44.111;0;50.898;0;52.665;0;146.7;16:16.304;10:21:14.679;0:44.111;0:50.898;0:52.665;;;Am;;Toyota Gazoo Racing;GF;44.111;50.898;52.665;17.899;17.899;26.212;44.111;28.788;1:12.899;22.11;1:35.009;33.161;2:08.170;19.504;2:27.674
3;1;7;2:28.923;0;;44.316;0;51.640;0;52.967;0;145.5;18:45.227;10:23:43.602;0:44.316;0:51.640;0:52.967;;;Am;;Toyota Gazoo Racing;GF;44.316;51.64;52.967;17.772;17.772;26.544;44.316;29.364;1:13.680;22.276;1:35.956;33.406;2:09.362;19.561;2:28.923
3;1;8;2:27.829;0;;43.882;0;51.186;0;52.761;0;146.6;21:13.056;10:26:11.431;0:43.882;0:51.186;0:52.761;;;Am;;Toyota Gazoo Racing;GF;43.882;51.186;52.761;17.841;17.841;26.041;43.882;29.034;1:12.916;22.152;1:35.068;33.147;2:08.215;19.614;2:27.829
3;1;9;2:27.656;0;;43.811;2;51.062;0;52.783;0;146.7;23:40.712;10:28:39.087;0:43.811;0:51.062;0:52.783;;;Am;;Toyota Gazoo Racing;GF;43.811;51.062;52.783;17.780;17.780;26.031;43.811;28.868;1:12.679;22.194;1:34.873;33.122;2:07.995;19.661;2:27.656
3;1;10;2:28.037;0;;44.007;0;51.023;0;53.007;0;146.4;26:08.749;10:31:07.124;0:44.007;0:51.023;0:53.007;;;Am;;Toyota Gazoo Racing;GF;44.007;51.023;53.007;17.802;17.802;26.205;44.007;28.798;1:12.805;22.225;1:35.030;33.393;2:08.423;19.614;2:28.037
