NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
2;Toyota GR86;Am;28;1:37.678;17;1:37.737;4;1:37.961;16;1:37.966;15;1:38.005;13;1:38.007;21;1:38.048;26;1:38.049;14;1:38.093;24;1:38.102;8;1:37.964
3;Toyota GR86;Am;28;1:38.920;6;1:39.073;20;1:39.114;11;1:39.156;8;1:39.213;15;1:39.215;25;1:39.249;3;1:39.275;5;1:39.311;14;1:39.328;13;1:39.185
5;Toyota GR86;Am;28;1:38.185;17;1:38.289;7;1:38.330;12;1:38.370;20;1:38.415;14;1:38.440;8;1:38.440;24;1:38.449;11;1:38.517;21;1:38.540;5;1:38.397
7;Toyota GR86;Am;28;1:38.237;12;1:38.265;2;1:38.304;11;1:38.350;3;1:38.398;20;1:38.412;7;1:38.489;8;1:38.497;15;1:38.500;13;1:38.516;19;1:38.396
13;Toyota GR86;Am;28;1:37.350;2;1:37.411;8;1:37.437;3;1:37.442;7;1:37.475;17;1:37.508;11;1:37.509;6;1:37.526;20;1:37.584;5;1:37.594;4;1:37.483
18;Toyota GR86;Am;27;1:40.296;7;1:40.383;12;1:40.423;6;1:40.592;13;1:40.625;10;1:40.688;3;1:40.743;14;1:40.750;19;1:40.753;2;1:40.834;4;1:40.608
21;Toyota GR86;Am;28;1:38.074;16;1:38.104;20;1:38.183;17;1:38.202;3;1:38.203;12;1:38.242;2;1:38.285;26;1:38.286;11;1:38.298;19;1:38.348;23;1:38.222
31;Toyota GR86;Am;27;1:37.882;17;1:37.955;7;1:37.991;14;1:38.011;22;1:38.014;16;1:38.078;15;1:38.081;25;1:38.134;27;1:38.295;20;1:38.308;13;1:38.074
41;Toyota GR86;Am;28;1:37.945;19;1:37.977;23;1:37.988;20;1:38.029;13;1:38.046;15;1:38.051;9;1:38.062;14;1:38.081;10;1:38.156;21;1:38.216;8;1:38.055
46;Toyota GR86;Am;28;1:37.910;13;1:37.988;16;1:38.005;17;1:38.006;18;1:38.029;19;1:38.054;9;1:38.071;4;1:38.081;23;1:38.088;5;1:38.136;6;1:38.036
47;Toyota GR86;Am;28;1:37.968;5;1:37.978;18;1:38.038;4;1:38.053;13;1:38.054;17;1:38.054;9;1:38.109;16;1:38.117;24;1:38.262;3;1:38.267;19;1:38.090
51;Toyota GR86;Am;28;1:38.345;5;1:38.482;12;1:38.652;13;1:38.836;7;1:38.868;6;1:38.876;4;1:38.877;11;1:38.888;3;1:38.890;15;1:39.159;2;1:38.787
55;Toyota GR86;Am;26;1:37.792;4;1:37.827;17;1:37.903;24;1:37.936;25;1:37.942;23;1:37.974;16;1:38.066;22;1:38.113;14;1:38.118;15;1:38.186;13;1:37.985
58;Toyota GR86;Am;27;1:38.840;7;1:39.096;25;1:39.209;21;1:39.217;14;1:39.354;27;1:39.356;19;1:39.406;5;1:39.433;4;1:39.448;20;1:39.452;3;1:39.281
72;Toyota GR86;Am;28;1:37.945;14;1:37.967;16;1:37.999;4;1:38.001;17;1:38.066;3;1:38.180;23;1:38.230;15;1:38.248;13;1:38.249;6;1:38.313;8;1:38.119
80;Toyota GR86;Am;27;1:39.010;7;1:39.168;5;1:39.306;24;1:39.348;12;1:39.351;13;1:39.384;4;1:39.415;16;1:39.448;3;1:39.492;19;1:39.495;14;1:39.341
88;Toyota GR86;Am;28;1:38.176;8;1:38.216;20;1:38.259;17;1:38.302;14;1:38.342;19;1:38.375;11;1:38.457;16;1:38.469;13;1:38.498;5;1:38.510;12;1:38.360
93;Toyota GR86;Am;24;1:38.961;13;1:39.226;4;1:39.254;11;1:39.286;10;1:39.303;17;1:39.329;14;1:39.356;3;1:39.408;24;1:39.515;19;1:39.549;23;1:39.318
98;Toyota GR86;Am;28;1:37.693;15;1:37.818;4;1:37.878;23;1:37.991;8;1:38.055;6;1:38.076;18;1:38.077;17;1:38.097;16;1:38.112;13;1:38.236;2;1:38.003
111;Toyota GR86;Am;28;1:38.304;7;1:38.326;11;1:38.336;10;1:38.386;20;1:38.438;19;1:38.448;2;1:38.451;17;1:38.452;13;1:38.489;21;1:38.499;8;1:38.412
113;Toyota GR86;Am;24;1:38.382;13;1:38.458;10;1:38.496;21;1:38.500;9;1:38.505;12;1:38.520;2;1:38.539;17;1:38.555;16;1:38.657;14;1:38.695;20;1:38.530
22;Toyota GR86;Am;28;1:37.304;11;1:37.330;8;1:37.350;7;1:37.379;20;1:37.379;10;1:37.384;9;1:37.420;13;1:37.423;4;1:37.438;12;1:37.466;5;1:37.387
