NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;INT-1_time;INT-1_elapsed;IM2a_time;IM2a_elapsed;INT-2_time;INT-2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;1;2:50.780;0;;1:02.000;0;53.202;0;55.578;0;80.9;2:50.780;12:58:40.358;1:02.000;0:53.202;0:55.578;140.1;;Am;;Toyota Gazoo Racing;GF;62.0;53.202;55.578;;;;1:02.000;;;;1:55.202;;;;2:50.780
3;1;2;1:59.971;0;;40.783;0;39.072;0;40.116;0;115.2;4:50.751;13:00:40.329;0:40.783;0:39.072;0:40.116;174.2;;Am;;Toyota Gazoo Racing;GF;40.783;39.072;40.116;;;;40.783;;;;1:19.855;;;;1:59.971
3;1;3;1:57.175;0;;40.053;0;38.305;0;38.817;0;117.9;6:47.926;13:02:37.504;0:40.053;0:38.305;0:38.817;181.2;;Am;;Toyota Gazoo Racing;GF;40.053;38.305;38.817;;;;40.053;;;;1:18.358;;;;1:57.175
3;1;4;1:59.506;0;;41.465;0;38.929;0;39.112;0;115.6;8:47.432;13:04:37.010;0:41.465;0:38.929;0:39.112;180.0;;Am;;Toyota Gazoo Racing;GF;41.465;38.929;39.112;;;;41.465;;;;1:20.394;;;;1:59.506
3;1;5;1:57.915;0;;39.735;0;39.531;0;38.649;0;117.2;10:45.347;13:06:34.925;0:39.735;0:39.531;0:38.649;182.1;;Am;;Toyota Gazoo Racing;GF;39.735;39.531;38.649;;;;39.735;;;;1:19.266;;;;1:57.915
3;1;6;1:55.766;0;;38.932;0;38.314;0;38.520;0;119.4;12:41.113;13:08:30.691;0:38.932;0:38.314;0:38.520;182.1;;Am;;Toyota Gazoo Racing;FCY;38.932;38.314;38.52;;;;38.932;;;;1:17.246;;;;1:55.766
3;1;7;2:23.095;0;;41.331;0;42.67;0;59.094;0;96.6;15:04.208;13:10:53.786;0:41.331;0:42.670;0:59.094;176.2;;Am;;Toyota Gazoo Racing;FCY;41.331;42.67;59.094;;;;41.331;;;;1:24.001;;;;2:23.095
3;1;8;2:20.851;0;;49.315;0;45.199;0;46.337;0;98.1;17:25.059;13:13:14.637;0:49.315;0:45.199;0:46.337;160.0;;Am;;Toyota Gazoo Racing;GF;49.315;45.199;46.337;;;;49.315;;;;1:34.514;;;;2:20.851
3;1;9;1:59.403;0;;40.032;0;38.415;0;40.956;0;115.7;19:24.462;13:15:14.040;0:40.032;0:38.415;0:40.956;178.2;;Am;;Toyota Gazoo Racing;GF;40.032;38.415;40.956;;;;40.032;;;;1:18.447;;;;1:59.403
3;1;10;1:57.055;0;;39.990;0;38.129;0;38.936;0;118.0;21:21.517;13:17:11.095;0:39.990;0:38.129;0:38.936;181.2;;Am;;Toyota Gazoo Racing;GF;39.99;38.129;38.936;;;;39.990;;;;1:18.119;;;;1:57.055
3;1;11;1:56.052;0;;39.194;0;37.839;0;39.019;0;119.1;23:17.569;13:19:07.147;0:39.194;0:37.839;0:39.019;181.2;;Am;;Toyota Gazoo Racing;GF;39.194;37.839;39.019;;;;39.194;;;;1:17.033;;;;1:56.052
3;1;12;2:17.057;0;;41.447;0;40.979;0;54.631;0;100.8;25:34.626;13:21:24.204;0:41.447;0:40.979;0:54.631;178.2;;Am;;Toyota Gazoo Racing;FCY;41.447;40.979;54.631;;;;41.447;;;;1:22.426;;;;2:17.057
3;1;13;2:44.132;0;;58.569;0;56.204;0;49.359;0;84.2;28:18.758;13:24:08.336;0:58.569;0:56.204;0:49.359;135.0;;Am;;Toyota Gazoo Racing;FCY;58.569;56.204;49.359;;;;58.569;;;;1:54.773;;;;2:44.132
3;1;14;2:16.693;0;;43.624;0;47.86;0;45.209;0;101.1;30:35.451;13:26:25.029;0:43.624;0:47.860;0:45.209;156.1;;Am;;Toyota Gazoo Racing;GF;43.624;47.86;45.209;;;;43.624;;;;1:31.484;;;;2:16.693
3;1;15;1:55.813;0;;39.003;0;38.103;0;38.707;0;119.3;32:31.264;13:28:20.842;0:39.003;0:38.103;0:38.707;181.2;;Am;;Toyota Gazoo Racing;GF;39.003;38.103;38.707;;;;39.003;;;;1:17.106;;;;1:55.813
3;1;16;1:59.759;0;;39.444;0;39.579;0;40.736;0;115.4;34:31.023;13:30:20.601;0:39.444;0:39.579;0:40.736;179.1;;Am;;Toyota Gazoo Racing;GF;39.444;39.579;40.736;;;;39.444;;;;1:19.023;;;;1:59.759
3;1;17;2:00.500;0;;39.884;0;38.214;0;42.402;0;114.7;36:31.523;13:32:21.101;0:39.884;0:38.214;0:42.402;184.3;;Am;;Toyota Gazoo Racing;GF;39.884;38.214;42.402;;;;39.884;;;;1:18.098;;;;2:00.500
3;1;18;1:55.138;2;;38.826;0;37.827;2;38.485;2;120.0;38:26.661;13:34:16.239;0:38.826;0:37.827;0:38.485;183.1;;Am;;Toyota Gazoo Racing;GF;38.826;37.827;38.485;;;;38.826;;;;1:16.653;;;;1:55.138
3;1;19;1:55.725;0;;38.881;0;38.047;0;38.797;0;119.4;40:22.386;13:36:11.964;0:38.881;0:38.047;0:38.797;180.0;;Am;;Toyota Gazoo Racing;GF;38.881;38.047;38.797;;;;38.881;;;;1:16.928;;;;1:55.725
3;1;20;1:55.244;0;;38.702;2;38.024;0;38.518;0;119.9;42:17.630;13:38:07.208;0:38.702;0:38.024;0:38.518;183.1;;Am;;Toyota Gazoo Racing;GF;38.702;38.024;38.518;;;;38.702;;;;1:16.726;;;;1:55.244
3;1;21;1:57.410;0;;39.377;0;37.97;0;40.063;0;117.7;44:15.040;13:40:04.618;0:39.377;0:37.970;0:40.063;184.3;;Am;;Toyota Gazoo Racing;GF;39.377;37.97;40.063;;;;39.377;;;;1:17.347;;;;1:57.410
3;1;22;1:56.788;0;;38.841;0;38.046;0;39.901;0;118.3;46:11.828;13:42:01.406;0:38.841;0:38.046;0:39.901;183.1;;Am;;Toyota Gazoo Racing;FF;38.841;38.046;39.901;;;;38.841;;;;1:16.887;;;;1:56.788
11;1;1;2:53.308;0;;1:09.149;0;51.968;0;52.191;0;79.7;2:53.308;12:58:42.886;1:09.149;0:51.968;0:52.191;149.2;;Am;Legends;Toyota Gazoo Racing;GF;69.149;51.968;52.191;;;;1:09.149;;;;2:01.117;;;;2:53.308
11;1;2;2:00.200;0;;41.411;0;39.986;0;38.803;0;115.0;4:53.508;13:00:43.086;0:41.411;0:39.986;0:38.803;175.0;;Am;Legends;Toyota Gazoo Racing;GF;41.411;39.986;38.803;;;;41.411;;;;1:21.397;;;;2:00.200
11;1;3;1:57.103;0;;39.608;0;38.817;0;38.678;0;118.0;6:50.611;13:02:40.189;0:39.608;0:38.817;0:38.678;182.1;;Am;Legends;Toyota Gazoo Racing;GF;39.608;38.817;38.678;;;;39.608;;;;1:18.425;;;;1:57.103
11;1;4;1:57.237;0;;39.289;0;39.328;0;38.620;0;117.9;8:47.848;13:04:37.426;0:39.289;0:39.328;0:38.620;181.2;;Am;Legends;Toyota Gazoo Racing;GF;39.289;39.328;38.62;;;;39.289;;;;1:18.617;;;;1:57.237
11;1;5;2:00.718;0;;39.459;0;39.882;0;41.377;0;114.5;10:48.566;13:06:38.144;0:39.459;0:39.882;0:41.377;181.2;;Am;Legends;Toyota Gazoo Racing;GF;39.459;39.882;41.377;;;;39.459;;;;1:19.341;;;;2:00.718
11;1;6;1:56.616;0;;39.384;0;38.62;0;38.612;0;118.5;12:45.182;13:08:34.760;0:39.384;0:38.620;0:38.612;180.0;;Am;Legends;Toyota Gazoo Racing;FCY;39.384;38.62;38.612;;;;39.384;;;;1:18.004;;;;1:56.616
11;1;7;2:20.602;0;;40.899;0;41.991;0;57.712;0;98.3;15:05.784;13:10:55.362;0:40.899;0:41.991;0:57.712;173.1;;Am;Legends;Toyota Gazoo Racing;FCY;40.899;41.991;57.712;;;;40.899;;;;1:22.890;;;;2:20.602
