NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
2;Toyota GR86;Am;19;2:26.334;3;2:26.642;7;2:26.731;5;2:26.757;10;2:26.888;6;2:26.982;9;2:27.120;2;2:27.178;4;2:27.321;11;2:27.512;15;2:26.946
3;Toyota GR86;Am;19;2:28.603;5;2:28.778;7;2:28.798;3;2:28.845;16;2:28.871;4;2:28.874;14;2:28.917;15;2:28.919;2;2:28.981;12;2:29.027;13;2:28.861
5;Toyota GR86;Am;6;2:27.775;4;2:28.070;3;2:28.636;5;;0;;0;;0;;0;;0;;0;;0;2:28.160
7;Toyota GR86;Am;19;2:26.184;10;2:26.286;8;2:26.327;2;2:26.442;9;2:26.444;7;2:26.540;5;2:26.642;6;2:26.677;3;2:26.729;4;2:26.752;11;2:26.502
11;Toyota GR86;Am;19;2:28.095;2;2:28.158;4;2:28.693;14;2:28.861;5;2:28.875;13;2:28.908;8;2:28.923;7;2:29.288;12;2:29.537;11;2:29.792;15;2:28.913
13;Toyota GR86;Am;19;2:25.437;4;2:25.690;5;2:25.767;7;2:25.847;8;2:25.913;6;2:26.120;2;2:26.133;10;2:26.147;3;2:26.320;12;2:26.388;9;2:25.976
15;Toyota GR86;Am;19;2:26.855;4;2:27.375;8;2:27.416;6;2:27.449;13;2:27.619;3;2:27.741;10;2:27.804;7;2:27.905;17;2:27.970;2;2:27.986;12;2:27.612
16;Toyota GR86;Am;19;2:26.116;2;2:26.133;9;2:26.181;8;2:26.469;10;2:26.471;4;2:26.563;12;2:26.609;11;2:26.648;7;2:26.697;6;2:26.700;3;2:26.458
21;Toyota GR86;Am;19;2:27.300;8;2:27.388;4;2:27.388;6;2:27.665;2;2:27.776;12;2:28.115;10;2:28.229;9;2:28.337;17;2:28.525;7;2:28.525;15;2:27.924
31;Toyota GR86;Am;16;2:27.222;4;2:27.449;8;2:27.796;2;2:27.828;9;2:27.835;6;2:27.931;7;2:28.212;10;2:28.406;3;2:28.460;12;2:28.676;5;2:27.981
41;Toyota GR86;Am;19;2:27.339;4;2:27.592;6;2:27.671;5;2:27.698;2;2:27.789;8;2:28.032;12;2:28.050;7;2:28.323;3;2:28.442;9;2:28.768;13;2:27.970
46;Toyota GR86;Am;19;2:25.713;2;2:25.991;8;2:26.192;9;2:26.296;11;2:26.470;4;2:26.556;12;2:26.643;10;2:26.665;7;2:26.694;3;2:26.768;13;2:26.398
47;Toyota GR86;Am;19;2:27.724;4;2:28.046;2;2:28.299;5;2:28.670;7;2:28.703;10;2:28.841;12;2:28.844;11;2:29.243;8;2:29.265;9;2:29.707;14;2:28.734
51;Toyota GR86;Am;19;2:28.789;3;2:29.281;9;2:29.341;10;2:29.425;12;2:29.527;11;2:29.625;8;2:29.676;7;2:29.850;14;2:29.960;5;2:30.169;15;2:29.564
55;Toyota GR86;Am;19;2:26.596;4;2:26.736;6;2:26.738;3;2:26.755;8;2:26.768;5;2:26.888;15;2:26.960;12;2:27.055;7;2:27.108;13;2:27.118;14;2:26.872
71;Toyota GR86;Am;19;2:27.716;2;2:27.878;14;2:27.991;11;2:28.004;6;2:28.039;3;2:28.041;7;2:28.098;13;2:28.372;16;2:28.468;12;2:28.473;17;2:28.108
72;Toyota GR86;Am;19;2:26.120;3;2:26.205;4;2:26.217;10;2:26.379;9;2:26.385;8;2:26.414;2;2:26.705;7;2:26.780;5;2:27.008;6;2:27.050;12;2:26.526
78;Toyota GR86;Am;19;2:26.253;7;2:26.430;3;2:26.467;11;2:26.483;2;2:26.546;5;2:26.576;10;2:26.631;14;2:26.645;15;2:26.746;9;2:26.799;16;2:26.557
80;Toyota GR86;Am;19;2:28.554;3;2:28.667;6;2:28.767;12;2:28.816;10;2:28.918;5;2:28.993;14;2:29.000;15;2:29.018;11;2:29.037;13;2:29.061;16;2:28.883
88;Toyota GR86;Am;19;2:27.188;3;2:27.335;4;2:27.572;6;2:27.897;8;2:28.007;2;2:28.106;7;2:28.221;9;2:29.324;5;2:30.133;15;2:30.164;13;2:28.394
98;Toyota GR86;Am;18;2:27.013;14;2:27.307;13;2:27.412;6;2:27.520;11;2:27.751;16;2:27.820;12;2:29.068;8;2:29.384;15;2:29.485;2;2:29.669;18;2:28.242
113;Toyota GR86;Am;19;2:27.390;3;2:27.568;14;2:27.649;15;2:27.744;7;2:27.770;2;2:27.936;11;2:27.977;17;2:28.163;6;2:28.284;13;2:28.346;9;2:27.882
