expire_at,lap,meta_event,meta_session,meta_source,meta_time,original_vehicle_id,outing,telemetry_name,telemetry_value,timestamp,vehicle_id,vehicle_number
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,accx_can,0.34600000000000003,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,accy_can,-0.074,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,aps,100,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,pbrake_r,0,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,pbrake_f,0,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,gear,3,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,VBOX_Long_Minutes,-86.61963653564453,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,VBOX_Lat_Min,33.532588958740234,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,Steering_Angle,2.6,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,Laptrigger_lapdist_dls,3715,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,nmot,7206,2025-09-05T00:28:20.593Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,accx_can,0.5640000000000001,2025-09-05T00:28:20.551Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,accy_can,0.036000000000000004,2025-09-05T00:28:20.551Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,aps,100,2025-09-05T00:28:20.551Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,pbrake_r,0,2025-09-05T00:28:20.551Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,pbrake_f,0,2025-09-05T00:28:20.551Z,GR86-002-000,0
,2,I_R06_2025-09-07,R1,kafka:gr-raw,2025-09-06T18:40:41.926Z,GR86-002-000,0,gear,3,2025-09-05T00:28:20.551Z,GR86-002-000,0
